function,live_version,verify_jwt,exposure_class,required_auth_boundary,source_status,disposition,closure_status
send-whatsapp,108,true,authenticated-api,platform-jwt-plus-role,missing-canonical-capture,audit-and-capture,pending
send-whatsapp-automation,25,true,service-operation,platform-jwt-plus-service-role,missing-canonical-capture,audit-and-capture,pending
whatsapp-operator-reply,25,true,authenticated-api,platform-jwt-plus-operator-role,missing-canonical-capture,audit-and-capture,pending
catalogue-ai-copy,4,true,staff-api,platform-jwt-plus-staff-role,repository-present,retain-with-human-review,partial
submit-central-scan,4,true,authenticated-api,platform-jwt-plus-ownership,missing-canonical-capture,audit-and-capture,pending
send-email,109,false,internal-service,service-secret-or-jwt,missing-canonical-capture,audit-before-retain,pending
generate-product-attributes,96,false,unsafe-public-or-internal,none-accepted,live-repo-drift,retire-or-rebuild,quarantined
whatsapp-webhook,121,false,provider-webhook,meta-verification-plus-signature-plus-replay,repository-present,dedicated-recertification,pending
public-order-tracking,78,false,public-read,opaque-token-plus-rate-limit-plus-enumeration-resistance,missing-canonical-capture,audit-before-retain,pending
whatsapp-otp,80,false,public-otp,rate-limit-plus-expiry-plus-replay-plus-abuse-control,missing-canonical-capture,audit-before-retain,pending
admin-create-draft,77,false,admin-api,manual-jwt-plus-admin-role,live-reviewed,enable-platform-jwt-after-compatibility,partial
notify-event,63,false,internal-service,service-secret-or-jwt,missing-canonical-capture,audit-before-retain,pending
banyan-central-parser,59,false,internal-service,service-secret-plus-least-privilege,missing-canonical-capture,audit-before-retain,pending
generate-rescue-ledger,58,false,financial-operation,platform-jwt-plus-finance-role,missing-canonical-capture,require-auth-and-role,pending
generate-bi-monthly-ledger,57,false,financial-operation,platform-jwt-plus-finance-role,missing-canonical-capture,require-auth-and-role,pending
oasis-ai-chat,55,false,public-or-authenticated-ai,jwt-or-session-plus-rate-limit-plus-cost-control,missing-canonical-capture,audit-before-retain,pending
msg91-otp,50,false,public-otp,rate-limit-plus-expiry-plus-replay-plus-provider-control,missing-canonical-capture,audit-before-retain,pending
validate-user,46,false,public-read,non-enumerating-response-plus-rate-limit,missing-canonical-capture,audit-before-retain,pending
msg91-webhook,34,false,provider-webhook,provider-secret-or-signature-plus-replay,missing-canonical-capture,audit-before-retain,pending
whatsapp-message-stitcher,27,false,internal-processor,service-auth-plus-idempotency,missing-canonical-capture,audit-before-retain,pending
whatsapp-identify-sender,24,false,internal-processor,service-auth-plus-least-privilege,missing-canonical-capture,audit-before-retain,pending
whatsapp-classify-intent,21,false,internal-processor,service-auth-plus-bounded-ai,missing-canonical-capture,audit-before-retain,pending
whatsapp-route-packet,21,false,internal-processor,service-auth-plus-idempotency-plus-authority-routing,missing-canonical-capture,audit-before-retain,pending
barcode-scan-ingest,20,false,device-ingest,device-or-user-auth-plus-replay,missing-canonical-capture,audit-before-retain,pending
whatsapp-studio-inbox-webhook,19,false,provider-or-custom-webhook,custom-secret-plus-replay,missing-repository-source,reconcile-or-retire,pending
whatsapp-studio-inbox-bridge,29,false,controlled-service,custom-secret-plus-disabled-by-default,repository-present,retain-controlled,partial
